SNo,Username,Password,Account,Game,Portfoilios
1,kunala,12345,1500,Game_kunala,Portfolios_kunala
2,randeep,54321,5000,Game_randeep,Portfolios_randeep
3,Jatin,96297,6000,Game_Jatin,Portfolios_Jatin
4,Mohan,138273,1100,Game_Mohan,Portfolios_Mohan
5,Ram,180249,900,Game_Ram,Portfolios_Ram
6,Sohan,222225,3200,Game_Sohan,Portfolios_Sohan
7,Jodhan,264201,970,Game_Jodhan,Portfolios_Jodhan
8,Banti,306177,7240,Game_Banti,Portfolios_Banti
9,Pintu,348153,6000,Game_Pintu,Portfolios_Pintu
10,Chintu,390129,1240,Game_Chintu,Portfolios_Chintu
